iter	Passed	Remaining
0	0	101
1	1	96
2	1	94
3	2	90
4	3	88
5	5	142
6	6	132
7	7	124
8	7	118
9	8	114
10	8	111
11	9	108
12	9	104
13	10	101
14	10	98
15	11	97
16	12	96
17	12	94
18	13	92
19	14	91
20	14	89
21	15	88
22	15	87
23	16	86
24	17	85
25	18	86
26	18	85
27	19	84
28	20	84
29	20	83
30	21	81
31	21	80
32	22	79
33	22	78
34	23	77
35	24	76
36	24	75
37	25	74
38	25	73
39	26	72
40	26	71
41	27	71
42	28	70
43	28	69
44	29	68
45	30	68
46	30	67
47	31	66
48	32	66
49	32	65
50	33	64
51	33	63
52	34	63
53	35	62
54	35	61
55	36	61
56	36	60
57	37	59
58	38	58
59	38	58
60	39	57
61	39	56
62	40	55
63	41	55
64	41	54
65	42	53
66	42	53
67	43	52
68	44	51
69	44	51
70	45	50
71	46	50
72	46	49
73	47	48
74	48	48
75	48	47
76	49	46
77	49	46
78	50	45
79	51	44
80	51	44
81	52	43
82	53	42
83	53	42
84	54	41
85	54	40
86	55	40
87	55	39
88	56	38
89	57	38
90	57	37
91	58	36
92	58	36
93	59	35
94	60	34
95	60	34
96	61	33
97	62	32
98	62	32
99	63	31
100	63	30
101	64	30
102	64	29
103	65	28
104	66	28
105	66	27
106	67	27
107	67	26
108	68	25
109	69	25
110	69	24
111	70	23
112	71	23
113	72	22
114	72	22
115	73	21
116	74	20
117	74	20
118	75	19
119	75	18
120	76	18
121	77	17
122	77	17
123	78	16
124	78	15
125	79	15
126	79	14
127	80	13
128	80	13
129	81	12
130	82	11
131	82	11
132	83	10
133	83	10
134	84	9
135	85	8
136	85	8
137	86	7
138	86	6
139	87	6
140	88	5
141	88	4
142	89	4
143	89	3
144	90	3
145	90	2
146	91	1
147	92	1
148	92	0
149	93	0
